z,hs
764.4446411132812,0.0
764.2451782226562,0.0
764.4217529296875,0.0
764.7398681640625,0.0
764.9717407226562,0.0
765.9581909179688,0.0
766.4113159179688,0.0
766.9868774414062,0.0
768.0779418945312,0.0
768.9680786132812,0.0
769.8021850585938,0.0
770.2764282226562,0.0
770.5729370117188,0.0
770.9588012695312,0.0
771.336669921875,0.0
771.7138671875,0.0
772.036865234375,0.0
772.2255859375,0.0
771.8766479492188,0.0
772.0928344726562,0.0
772.19775390625,0.0
772.4373168945312,0.0
772.4534301757812,0.0
772.6461791992188,0.0
772.4880981445312,0.0
772.1222534179688,0.0
771.8219604492188,0.0
771.9071044921875,0.0
772.955810546875,0.0
774.2928466796875,0.0
773.6469116210938,0.0
771.868896484375,0.0
771.9046630859375,0.0
771.9364624023438,0.0
771.994384765625,0.0
772.3785400390625,0.0
772.389404296875,0.0
772.1126708984375,0.0
771.8590087890625,0.0
771.7233276367188,0.0
771.8516235351562,0.0
771.94775390625,0.0
771.9799194335938,0.0
772.0289916992188,0.0
772.1179809570312,0.0
772.1859130859375,0.0
772.3104858398438,0.0
772.5645751953125,0.0
772.98974609375,0.0
772.9070434570312,0.0
773.04443359375,0.0
773.0874633789062,0.0
772.8351440429688,0.0
773.0119018554688,0.0
772.9786376953125,0.0
772.698974609375,0.0
772.607666015625,0.0
772.411376953125,0.0
772.0672607421875,0.0
770.2472534179688,0.0
770.372314453125,0.0
770.2844848632812,0.0
770.32177734375,0.0
770.2474975585938,0.0
770.05712890625,0.0
770.0557250976562,0.0
769.8502197265625,0.0
770.2744140625,0.0
770.5256958007812,0.0
770.837890625,0.0
770.9552612304688,0.0
771.8655395507812,0.0
773.127685546875,0.0
775.9841918945312,0.0
776.556640625,0.0
776.6492309570312,0.0
777.0610961914062,0.0
777.63720703125,0.0
777.586669921875,0.0
777.4700317382812,0.0
777.3527221679688,0.0
777.2543334960938,0.0
777.2821655273438,0.0
777.0853271484375,0.0
776.8643188476562,0.0
776.821533203125,0.0
776.6487426757812,0.0
776.6666870117188,0.0
776.6557006835938,0.0
776.578857421875,0.0
776.4974975585938,0.0
776.4671630859375,0.0
776.2432861328125,0.0
776.1693115234375,0.0
776.0216064453125,0.0
775.7269287109375,0.0
775.5239868164062,0.0
775.1146850585938,0.0
774.7039794921875,0.0
774.5067138671875,0.0
774.1416625976562,0.0
773.6484985351562,0.0
773.4638671875,0.0
772.7922973632812,0.0
772.3922729492188,0.0
772.2709350585938,0.0
771.8407592773438,0.0
771.2191772460938,0.0
770.7439575195312,0.0
770.0813598632812,0.0
769.4239501953125,0.0
769.18896484375,0.0
768.5932006835938,0.0
768.1153564453125,0.0
767.7660522460938,0.0
767.37158203125,0.0
767.2080078125,0.0
766.9436645507812,0.0
766.7901000976562,0.0
766.6600952148438,0.0
766.5685424804688,0.0
766.66845703125,0.0
766.4293823242188,0.0
766.1748046875,0.0
765.4060668945312,0.0
764.533935546875,0.0
764.2329711914062,0.0
763.8734741210938,0.0
763.5175170898438,0.0
763.454833984375,0.0
763.3834228515625,0.0
763.1131591796875,0.0
762.8475341796875,0.0
762.695556640625,0.0
762.4415283203125,0.0
762.1317138671875,0.0
761.8060913085938,0.0
761.5077514648438,0.0
761.4258422851562,0.0
761.3015747070312,0.0
761.1727294921875,0.0
761.2274780273438,0.0
761.4933471679688,0.0
761.2288818359375,0.0
761.2090454101562,0.0
760.978759765625,0.0
761.0469360351562,0.0
760.7877807617188,0.0
760.8026123046875,0.0
760.7545776367188,0.0
760.6536865234375,0.0
760.7344360351562,0.0
760.7227783203125,0.0
760.7293701171875,0.0
760.5169067382812,0.0
760.7908325195312,0.0
761.6273803710938,0.0
762.9017333984375,0.0
763.0693969726562,0.0
764.0438232421875,0.0
764.9030151367188,0.0
765.2587280273438,0.0
765.2869262695312,0.0
765.3391723632812,0.0
765.1995849609375,0.0
765.2241821289062,0.0
765.1586303710938,0.0
765.0928344726562,0.0
765.1744995117188,0.0
764.9851684570312,0.0
765.1143798828125,0.0
764.9080200195312,0.0
764.53564453125,0.0
764.1937255859375,0.0
763.9124145507812,0.0
763.52294921875,0.0
763.318603515625,0.0
762.9872436523438,0.0
762.7357788085938,0.0
761.6520385742188,0.0
760.7802124023438,0.0
760.4324951171875,0.0
759.68994140625,0.0
758.8864135742188,0.0
758.054931640625,0.0
756.870849609375,0.0
755.8184204101562,0.0
754.7457885742188,0.0
753.5179443359375,0.0
752.7892456054688,0.0
752.0121459960938,0.0
751.5103759765625,0.0
750.9007568359375,0.0
750.0724487304688,0.0
749.1063842773438,0.0
748.3397216796875,0.0
747.4576416015625,0.0
746.4656372070312,0.0
745.68359375,0.0
744.75,0.0
764.5950317382812,0.0
764.5371704101562,188.29717026672822
764.8070678710938,193.93833399081961
764.9929809570312,196.06745628813843
765.4306030273438,201.34700154070075
766.1109008789062,201.45023999565336
766.5875854492188,201.76658839812174
767.3798828125,208.64337022885354
768.5718994140625,205.62561288624073
769.0361328125,198.6366437404269
