h,Qx,Qy
0.6872017062514754,-0.004399660571382378,0.001973275341410022
0.8866422965817659,-0.017173273962460562,0.0023113242921181743
0.709115488014449,-0.025275414247981857,6.447713856952146e-5
0.39068880879027734,-0.033087963503503175,-0.0009007257304560251
0.15417793469896687,-0.04298645923088079,-0.0032559396825842914
0.03222093837741765,-0.026911816101553656,-0.002581216662559259
0.02909334647796924,-0.02174271762238078,-0.0021895517934492413
0.02552156885566735,-0.016821139072701954,-0.0017417041820676706
0.02122860908795681,-0.01221487953398705,-0.0012336239779834738
0.017232529360287265,-0.008216985669598423,-0.0008706318413735548
0.009641127697735058,-0.004026153176210578,-9.214997167689251e-6
0.014629022294372945,-0.004323932524183904,-0.0005150584776718306
0.009490246747032955,-0.0016777129945657531,-4.1469239964139006e-5
0.004891574968138318,-0.0006066840561681084,0.00010205119914807226
0.00472987052383327,-0.0004990431845219018,9.471014460161658e-5
0.0044326372581639404,-0.0003516319055091944,8.225645363558047e-5
0.0038244058714409384,-0.00016704453632566558,6.072741420574679e-5
0.002356912960974655,0.0,2.388340282226894e-5
0.009556845324212328,-0.0008659029254060866,0.0003129156288086755
0.004891574968138318,-0.0006066840561681084,0.00010205119914807226
0.00472987052383327,-0.0004990431845219018,9.471014460161658e-5
0.0044326372581639404,-0.0003516319055091944,8.225645363558047e-5
0.0038244058714409384,-0.00016704453632566558,6.072741420574679e-5
0.002356912960974655,0.0,2.388340282226894e-5
0.0038244058714409384,0.00016704453632566558,6.072741420574679e-5
0.0044326372581639404,0.0003516319055091944,8.225645363558047e-5
0.01050718522670714,0.0,0.0003610954787262349
0.0044326372581639404,-0.0003516319055091944,8.225645363558047e-5
0.0038244058714409384,-0.00016704453632566558,6.072741420574679e-5
0.002356912960974655,0.0,2.388340282226894e-5
0.0038244058714409384,0.00016704453632566558,6.072741420574679e-5
0.010498610483243138,-0.0005660328167873058,0.00036164569229636933
0.004891574968138587,-0.0006066840561681013,0.00010205119914804471
0.004729870523832895,-0.0004990431845219132,9.471014460159607e-5
0.004432637258162812,-0.00035163190550908046,8.2256453635554e-5
0.003824405871440137,-0.00016704453632561097,6.0727414205763455e-5
0.002356912960974144,-4.433584304238259e-19,2.38834028222683e-5
0.003824405871440171,0.00016704453632562322,6.072741420576624e-5
0.004432637258164417,0.00035163190550920915,8.225645363559613e-5
0.011323413394448895,-0.0005702305794863561,0.00040941859968230044
0.005108891546613578,-0.0008020087693674851,0.00011239863922294154
0.005083479340912446,-0.000775009778793392,0.00011117167411333423
0.005045391014096617,-0.0007369617822688023,0.00010933758142816576
0.004986496513612741,-0.0006830910628408744,0.00010652039240351119
0.004891574968138318,-0.0006066840561681084,0.00010205119914807226
0.00472987052383327,-0.0004990431845219018,9.471014460161658e-5
0.0044326372581639404,-0.0003516319055091944,8.225645363558047e-5
0.0038244058714409384,-0.00016704453632566558,6.072741420574679e-5
0.002356912960974655,0.0,2.388340282226894e-5
0.008452493114782113,-0.00029120955305029627,0.00025276568871522695
0.0038244058714409384,-0.00016704453632566558,6.072741420574679e-5
0.002356912960974655,0.0,2.388340282226894e-5
0.18403845956498802,-0.00502751200649499,0.00017638432832814763
0.0066475464094003815,0.00011900536485898851,-9.228600971845249e-5
0.009681830668426991,0.0010192012067778674,-0.00011063880627687172
0.00719578211494777,0.0013995386609457834,8.850743756945875e-5
0.006124140256480171,0.0013307481761381367,0.00012649136895841997
0.005651565663106518,0.001198920062346568,0.00012900591899947078
0.005430146150383777,0.0010910317182979213,0.00012531133708177384
0.22288296843103172,-0.0039055530269813577,-8.904219211952503e-6
0.09573616963360602,-0.0024686318532413363,-0.00013250359891880603
0.1831974179299019,-0.00833579163151862,-2.715009843181982e-5
0.14365355633259194,-0.008364029685334519,-9.388820327232063e-5
0.22071623628724543,-0.01146716701251781,-0.002146040163813741
0.4106890723152075,-0.013313504873739584,-0.0004344870237868457
0.41056684661529547,-0.01270514522855322,-0.0007297271486582213
0.6147050726256464,-0.025681246342604963,-0.002660098519978923
0.18605396678862005,-0.02144957392632667,-0.0007436260719114315
0.014153326924852062,-0.013529895967713519,0.00012511012930658852
0.01828368350570761,-0.016535641852169967,-0.000177644468232459
0.028151597292582375,-0.02122154533454907,-0.001207763009459352
0.026599967862864032,-0.018025653976525547,-0.001128398839201196
0.027646070549311952,-0.01499219553988226,-0.0012085951845630795
0.025213622062124116,-0.010346511611506437,-0.001316821357790825
0.02168373549800945,-0.006078450027638641,-0.0013140762567713901
0.016940738477036418,-0.002742695609224152,-0.0010429737898515654
0.011278372518406894,-0.0007039367043724049,-0.000555448592371933
0.0060016775365187925,0.00032129745299460684,-0.0004387319465937156
0.01162101499410059,0.001789387444468922,-0.0005306684212662055
0.00845269339960651,0.002227777107581328,-1.8930415532690193e-5
0.006832009337825654,0.0020546054623052676,0.00010579303788552848
0.03901669948630587,0.010290731742966333,7.325093529492901e-6
0.00797341156360042,0.0022385578157482207,0.00014162484832652277
0.006511428774917235,0.001988695260478354,0.00015286926156630546
0.006047766823038197,0.0017495984356595124,0.0001499818615562824
0.005808397637347752,0.0015437747665614685,0.00014380286442784243
0.011113269167955719,0.002216288485734139,0.0004047579432904962
0.002356912960974222,4.366416216442179e-19,2.3883402822268978e-5
0.003824405871440557,0.00016704453632566244,6.0727414205742455e-5
0.0044326372581638945,0.0003516319055092151,8.225645363556792e-5
0.004729870523832355,0.0004990431845218148,9.471014460159782e-5
0.004891574968137614,0.0006066840561678819,0.00010205119914803345
0.004986496513613388,0.0006830910628404855,0.00010652039240341832
